Month,MonthlyRainfall_mm,RainyDays,MaxDailyRainfall_mm,MaxDailyRainfallDateTime,Year,Station,StationCode
6,442.5,13,114.0,2019/06/25 00:00:00,2019,Taipei,C1AC50
7,228.0,11,82.5,2019/07/21 00:00:00,2019,Taipei,C1AC50
8,193.0,8,71.0,2019/08/08 00:00:00,2019,Taipei,C1AC50
9,628.5,15,123.0,2019/09/21 00:00:00,2019,Taipei,C1AC50
10,14.5,4,8.5,2019/10/01 00:00:00,2019,Taipei,C1AC50
11,5.5,5,3.0,2019/11/22 00:00:00,2019,Taipei,C1AC50
12,153.0,7,47.5,2019/12/06 00:00:00,2019,Taipei,C1AC50
1,260.5,12,95.5,2018/01/08 00:00:00,2018,Taipei,C1AC50
2,121.5,14,33.5,2018/02/22 00:00:00,2018,Taipei,C1AC50
3,33.5,6,15.5,2018/03/20 00:00:00,2018,Taipei,C1AC50
4,82.0,8,31.0,2018/04/24 00:00:00,2018,Taipei,C1AC50
5,21.0,2,19.0,2018/05/08 00:00:00,2018,Taipei,C1AC50
6,26.5,8,9.0,2018/06/05 00:00:00,2018,Taipei,C1AC50
7,170.0,7,70.0,2018/07/11 00:00:00,2018,Taipei,C1AC50
8,223.5,15,47.5,2018/08/03 00:00:00,2018,Taipei,C1AC50
9,466.5,12,170.0,2018/09/08 00:00:00,2018,Taipei,C1AC50
10,117.5,10,27.0,2018/10/04 00:00:00,2018,Taipei,C1AC50
11,42.0,11,13.5,2018/11/17 00:00:00,2018,Taipei,C1AC50
12,53.5,6,23.5,2018/12/24 00:00:00,2018,Taipei,C1AC50
1,24.5,7,14.0,2023/01/24 00:00:00,2023,Taipei,C1AC50
2,53.0,5,34.5,2023/02/05 00:00:00,2023,Taipei,C1AC50
3,31.0,7,21.5,2023/03/25 00:00:00,2023,Taipei,C1AC50
4,107.0,10,31.0,2023/04/19 00:00:00,2023,Taipei,C1AC50
5,215.0,11,42.5,2023/05/19 00:00:00,2023,Taipei,C1AC50
6,122.0,14,28.5,2023/06/23 00:00:00,2023,Taipei,C1AC50
7,31.0,7,10.5,2023/07/26 00:00:00,2023,Taipei,C1AC50
8,311.5,15,65.5,2023/08/03 00:00:00,2023,Taipei,C1AC50
9,70.5,8,30.5,2023/09/01 00:00:00,2023,Taipei,C1AC50
10,121.0,11,65.5,2023/10/04 00:00:00,2023,Taipei,C1AC50
11,8.0,4,4.0,2023/11/30 00:00:00,2023,Taipei,C1AC50
12,79.0,10,67.5,2023/12/04 00:00:00,2023,Taipei,C1AC50
1,99.0,14,42.5,2022/01/22 00:00:00,2022,Taipei,C1AC50
2,225.0,15,33.5,2022/02/23 00:00:00,2022,Taipei,C1AC50
3,172.0,10,49.0,2022/03/28 00:00:00,2022,Taipei,C1AC50
4,62.0,6,27.5,2022/04/02 00:00:00,2022,Taipei,C1AC50
5,515.5,19,152.0,2022/05/25 00:00:00,2022,Taipei,C1AC50
6,193.0,12,53.5,2022/06/08 00:00:00,2022,Taipei,C1AC50
7,85.5,8,40.5,2022/07/04 00:00:00,2022,Taipei,C1AC50
8,64.0,7,43.5,2022/08/02 00:00:00,2022,Taipei,C1AC50
9,422.0,11,160.0,2022/09/02 00:00:00,2022,Taipei,C1AC50
10,247.0,11,156.0,2022/10/16 00:00:00,2022,Taipei,C1AC50
11,130.0,7,71.0,2022/11/24 00:00:00,2022,Taipei,C1AC50
12,68.5,15,19.5,2022/12/17 00:00:00,2022,Taipei,C1AC50
1,49.5,6,36.0,2020/01/26 00:00:00,2020,Taipei,C1AC50
2,45.5,5,30.0,2020/02/16 00:00:00,2020,Taipei,C1AC50
3,155.5,14,51.5,2020/03/10 00:00:00,2020,Taipei,C1AC50
4,60.5,15,12.5,2020/04/11 00:00:00,2020,Taipei,C1AC50
5,318.0,13,63.0,2020/05/22 00:00:00,2020,Taipei,C1AC50
6,94.5,7,44.5,2020/06/07 00:00:00,2020,Taipei,C1AC50
7,110.5,7,60.0,2020/07/02 00:00:00,2020,Taipei,C1AC50
8,497.0,14,187.0,2020/08/03 00:00:00,2020,Taipei,C1AC50
9,131.0,11,68.5,2020/09/27 00:00:00,2020,Taipei,C1AC50
10,12.0,4,8.5,2020/10/22 00:00:00,2020,Taipei,C1AC50
11,9.0,4,4.0,2020/11/13 00:00:00,2020,Taipei,C1AC50
12,92.0,16,29.0,2020/12/09 00:00:00,2020,Taipei,C1AC50
1,34.5,9,13.5,2021/01/07 00:00:00,2021,Taipei,C1AC50
2,62.5,7,21.0,2021/02/11 00:00:00,2021,Taipei,C1AC50
3,83.0,9,32.5,2021/03/06 00:00:00,2021,Taipei,C1AC50
4,32.5,2,16.5,2021/04/28 00:00:00,2021,Taipei,C1AC50
5,144.5,6,67.0,2021/05/31 00:00:00,2021,Taipei,C1AC50
6,182.0,10,58.5,2021/06/22 00:00:00,2021,Taipei,C1AC50
7,325.5,10,111.5,2021/07/24 00:00:00,2021,Taipei,C1AC50
8,185.0,14,105.0,2021/08/07 00:00:00,2021,Taipei,C1AC50
9,99.5,3,87.5,2021/09/12 00:00:00,2021,Taipei,C1AC50
10,166.0,11,78.5,2021/10/11 00:00:00,2021,Taipei,C1AC50
11,45.5,10,15.0,2021/11/13 00:00:00,2021,Taipei,C1AC50
12,52.0,9,20.5,2021/12/21 00:00:00,2021,Taipei,C1AC50
1,79.0,12,18.0,2013/01/08 00:00:00,2013,Taoyuan,C1C510
2,29.5,13,14.0,2013/02/27 00:00:00,2013,Taoyuan,C1C510
3,88.5,14,24.0,2013/03/28 00:00:00,2013,Taoyuan,C1C510
4,344.0,19,66.0,2013/04/05 00:00:00,2013,Taoyuan,C1C510
5,434.0,12,179.5,2013/05/11 00:00:00,2013,Taoyuan,C1C510
6,70.0,8,31.5,2013/06/23 00:00:00,2013,Taoyuan,C1C510
7,160.5,5,103.5,2013/07/13 00:00:00,2013,Taoyuan,C1C510
8,510.5,14,159.0,2013/08/20 00:00:00,2013,Taoyuan,C1C510
9,33.0,10,15.5,2013/09/20 00:00:00,2013,Taoyuan,C1C510
10,56.5,8,33.5,2013/10/04 00:00:00,2013,Taoyuan,C1C510
11,48.5,11,18.0,2013/11/25 00:00:00,2013,Taoyuan,C1C510
12,191.5,16,54.0,2013/12/17 00:00:00,2013,Taoyuan,C1C510
1,304.0,20,47.5,2016/01/11 00:00:00,2016,Taoyuan,C1C510
2,102.5,15,26.0,2016/02/01 00:00:00,2016,Taoyuan,C1C510
3,274.0,18,53.5,2016/03/23 00:00:00,2016,Taoyuan,C1C510
4,190.0,12,53.5,2016/04/13 00:00:00,2016,Taoyuan,C1C510
5,254.5,9,159.5,2016/05/16 00:00:00,2016,Taoyuan,C1C510
6,420.5,13,150.0,2016/06/14 00:00:00,2016,Taoyuan,C1C510
7,22.5,3,18.5,2016/07/09 00:00:00,2016,Taoyuan,C1C510
8,92.5,9,40.0,2016/08/12 00:00:00,2016,Taoyuan,C1C510
9,271.5,15,98.5,2016/09/06 00:00:00,2016,Taoyuan,C1C510
10,50.5,8,12.5,2016/10/08 00:00:00,2016,Taoyuan,C1C510
11,128.0,12,54.5,2016/11/23 00:00:00,2016,Taoyuan,C1C510
12,5.5,4,2.0,2016/12/28 00:00:00,2016,Taoyuan,C1C510
1,27.5,5,14.5,2017/01/13 00:00:00,2017,Taoyuan,C1C510
2,99.0,8,37.5,2017/02/24 00:00:00,2017,Taoyuan,C1C510
3,178.0,18,37.5,2017/03/31 00:00:00,2017,Taoyuan,C1C510
4,128.0,12,37.0,2017/04/21 00:00:00,2017,Taoyuan,C1C510
5,83.5,9,49.5,2017/05/16 00:00:00,2017,Taoyuan,C1C510
6,629.5,14,135.5,2017/06/14 00:00:00,2017,Taoyuan,C1C510
7,73.5,9,34.5,2017/07/01 00:00:00,2017,Taoyuan,C1C510
8,25.5,4,22.0,2017/08/02 00:00:00,2017,Taoyuan,C1C510
9,28.5,6,11.5,2017/09/13 00:00:00,2017,Taoyuan,C1C510
10,137.5,9,35.0,2017/10/13 00:00:00,2017,Taoyuan,C1C510
